Place,Population,Per Capita Income,Poverty Count
"Custer County, Idaho",4169,23805,760
"Elmore County, Idaho",26743,23028,3959
"Franklin County, Idaho",13464,24185,1394
"Fremont County, Idaho",13020,23577,1613
"Gem County, Idaho",17331,22661,2916
"Gooding County, Idaho",15148,23607,2443
"Idaho County, Idaho",16411,22672,2268
"Jefferson County, Idaho",28534,24677,1953
"Jerome County, Idaho",23730,21461,4478
"Kootenai County, Idaho",157322,29948,18244
"Latah County, Idaho",39505,27011,6571
"Lemhi County, Idaho",7847,25075,938
"Lewis County, Idaho",3838,24094,614
"Lincoln County, Idaho",5350,21656,641
"Madison County, Idaho",39100,16585,11937
"Minidoka County, Idaho",20705,24262,3428
"Nez Perce County, Idaho",40217,29544,5215
"Oneida County, Idaho",4385,22120,495
"Owyhee County, Idaho",11552,22806,1832
"Payette County, Idaho",23260,25768,3062
"Power County, Idaho",7671,23343,871
"Shoshone County, Idaho",12609,23987,2398
"Teton County, Idaho",11426,31191,512
"Twin Falls County, Idaho",84869,25352,11975
"Valley County, Idaho",10709,33709,764
"Washington County, Idaho",10057,22650,1328
"Adams County, Illinois",66085,30343,8031
"Alexander County, Illinois",6260,19519,1553
"Bond County, Illinois",16589,28119,2098
"Boone County, Illinois",53537,31943,5341
"Brown County, Illinois",6628,23070,549
"Bureau County, Illinois",33122,30255,4040
"Calhoun County, Illinois",4830,28822,548
"Carroll County, Illinois",14466,29166,1511
"Cass County, Illinois",12493,26992,1822
"Champaign County, Illinois",209922,30578,38859
"Christian County, Illinois",32931,27361,3831
"Clark County, Illinois",15716,30796,1718
"Clay County, Illinois",13287,26815,2153
"Clinton County, Illinois",37634,31783,2733
"Coles County, Illinois",51353,28084,9932
"Cook County, Illinois",5198275,37552,734470
"Crawford County, Illinois",18972,26546,1934
"Cumberland County, Illinois",10836,27812,1483
"DeKalb County, Illinois",104366,29430,16531
"De Witt County, Illinois",15932,30729,1768
"Douglas County, Illinois",19623,28139,2089
"DuPage County, Illinois",929060,46272,58397
"Edgar County, Illinois",17407,27797,2054
"Edwards County, Illinois",6455,28255,649
"Effingham County, Illinois",34137,31665,3571
"Fayette County, Illinois",21565,23194,3421
"Ford County, Illinois",13270,28957,1785
"Franklin County, Illinois",38923,24098,7425
"Fulton County, Illinois",35092,27741,4769
"Gallatin County, Illinois",5064,33377,1050
"Greene County, Illinois",13132,25414,1666
"Grundy County, Illinois",50666,35208,3814
"Hamilton County, Illinois",8176,27702,747
"Hancock County, Illinois",17983,28576,2423
"Hardin County, Illinois",3939,28932,501
"Henderson County, Illinois",6809,28950,527
"Henry County, Illinois",49267,30345,5235
"Iroquois County, Illinois",27812,27574,3378
"Jackson County, Illinois",57977,24804,14307
"Jasper County, Illinois",9594,25849,1288
"Jefferson County, Illinois",37985,26466,6046
"Jersey County, Illinois",21937,30182,2068
"Jo Daviess County, Illinois",21588,34437,1824
"Johnson County, Illinois",12494,23140,1097
"Kane County, Illinois",531376,36270,49371
"Kankakee County, Illinois",110637,27984,15039
"Kendall County, Illinois",126054,36382,5647
"Knox County, Illinois",50508,24545,8413
"Lake County, Illinois",701473,45766,54273
"LaSalle County, Illinois",109737,30277,14186
"Lawrence County, Illinois",16033,23613,2212
"Lee County, Illinois",34389,29984,3874
"Livingston County, Illinois",36040,27925,5057
"Logan County, Illinois",29003,27546,2323
"McDonough County, Illinois",30479,24094,5928
"McHenry County, Illinois",307714,39006,21281
"McLean County, Illinois",172578,34532,24575
"Macon County, Illinois",105528,29644,17295
"Macoupin County, Illinois",45463,28809,6175
"Madison County, Illinois",264776,32427,34266
"Marion County, Illinois",37743,25563,6493
"Marshall County, Illinois",11679,30808,1193
"Mason County, Illinois",13621,28534,1911
"Massac County, Illinois",14219,23539,2331
"Menard County, Illinois",12306,37098,1127
"Mercer County, Illinois",15589,29268,1482
